City + State Abbreviation no comma,Population
New York NY,18832416
Los Angeles CA,11885717
Chicago IL,8489066
Miami FL,6113982
Houston TX,6046392
Dallas TX,5843632
Philadelphia PA,5696588
Atlanta GA,5211164
Washington DC,5146120
Boston MA,4355184
Phoenix AZ,4065338
Detroit MI,3716929
Seattle WA,3555253
San Francisco CA,3364862
San Diego CA,3057778
Minneapolis MN,2906807
Tampa FL,2906035
Brooklyn NY,2736074
Denver CO,2691349
Queens NY,2405464
Riverside CA,2288508
Las Vegas NV,2256509
Baltimore MD,2189589
St. Louis MO,2127843
Portland OR,2084045
San Antonio TX,2069843
Sacramento CA,1962998
Austin TX,1915031
Orlando FL,1913597
San Juan PR,1809800
San Jose CA,1771563
Indianapolis IN,1740984
Pittsburgh PA,1712828
Cincinnati OH,1704916
Manhattan NY,1694263
Kansas City MO,1686807
Cleveland OH,1679247
Columbus OH,1578153
Bronx NY,1472654
Charlotte NC,1436613
Virginia Beach VA,1431821
Jacksonville FL,1303156
Milwaukee WI,1290221
Providence RI,1270529
Nashville TN,1178679
Salt Lake City UT,1169033
Raleigh NC,1150010
Richmond VA,1081248
Memphis TN,1033394
Oklahoma City OK,1000207
Hartford CT,969171
Louisville KY,965005
Buffalo NY,949547
Fort Worth TX,941311
Bridgeport CT,921660
New Orleans LA,918752
Tucson AZ,879871
El Paso TX,862494
Omaha NE,826161
McAllen TX,810034
Birmingham AL,778756
Albuquerque NM,767499
Tulsa OK,740620
Charleston SC,726389
Fresno CA,724547
Rochester NY,694707
Dayton OH,667936
Cape Coral FL,656464
Provo UT,639820
Colorado Springs CO,638421
Mission Viejo CA,634674
Allentown PA,632175
Baton Rouge LA,630063
Ogden UT,623688
Knoxville TN,618226
Grand Rapids MI,611480
Columbia SC,605083
Albany NY,602242
Bakersfield CA,578542
New Haven CT,565056
Des Moines IA,560170
Palm Bay FL,547659
Akron OH,538659
Concord CA,525233
Mesa AZ,507478
Wichita KS,501760
Harrisburg PA,499494
Staten Island NY,495747
Toledo OH,492076
Worcester MA,487014
Port St. Lucie FL,473733
Little Rock AR,467846
Madison WI,460255
Spokane WA,458988
Long Beach CA,458491
Denton TX,455152
Reno NV,454814
Boise ID,449428
Bonita Springs FL,445500
Kissimmee FL,442790
Augusta GA,439361
Springfield MA,438889
Oakland CA,438072
Winston-Salem NC,434231
Stockton CA,416005
Durham NC,411362
Chattanooga TN,410795
Greenville SC,408626
Lancaster PA,408023
Syracuse NY,407625
Fayetteville AR,405556
Pensacola FL,401535
Arlington TX,394769
Aurora CO,390201
Scranton PA,375462
Oxnard CA,373423
Indio CA,371926
Victorville CA,363596
Trenton NJ,362501
Huntsville AL,359389
Modesto CA,355686
Honolulu HI,346323
Greensboro NC,345858
Fort Wayne IN,345279
Anaheim CA,344553
Corpus Christi TX,339432
Fort Collins CO,339256
Antioch CA,333347
Jackson MS,331332
Fayetteville NC,326821
Myrtle Beach SC,325829
Henderson NV,324523
Mobile AL,324067
Lexington KY,321122
Lansing MI,318001
Savannah GA,316446
Youngstown OH,315751
Ann Arbor MI,314647
Santa Ana CA,311639
Irvine CA,308160
St. Paul MN,307762
Poughkeepsie NY,307738
Newark NJ,307188
Santa Rosa CA,299986
Concord NC,297379
Winter Haven FL,296830
Asheville NC,295040
Canton OH,293657
Lincoln NE,293055
Flint MI,291688
Lakeland FL,290762
Jersey City NJ,289691
Anchorage AK,289069
Springfield MO,289041
Plano TX,287339
Lubbock TX,283024
Davenport IA,282356
Reading PA,280030
Shreveport LA,278269
Chandler AZ,278123
South Bend IN,275725
Wilmington NC,275128
Chula Vista CA,275030
Rockford IL,274256
Eugene OR,272737
Salem OR,272331
Gilbert AZ,271118
North Las Vegas NV,270773
Santa Clarita CA,265529
Peoria IL,262461
Tallahassee FL,261271
Killeen TX,261099
St. Petersburg FL,260646
Kennewick WA,260091
Columbus GA,257578
Laredo TX,255949
Irving TX,255036
Round Lake Beach IL,252224
Montgomery AL,251545
Chesapeake VA,251153
Glendale AZ,250193
Nashua NH,247828
York PA,246769
Garland TX,245298
Rock Hill SC,244403
Scottsdale AZ,242169
Aguadilla PR,235546
Arlington VA,235463
Norfolk VA,235037
