Company Short Name,Industry
Agilent,Medical Diagnostics & Research
Alcoa,Metals & Mining
Altaba,Asset Management
AAC,Health Care Providers
AdvisorShares Dorsey Wright,
American Airlines,Airlines
Altisource Asset Management,Asset Management
Atlantic American,Insurance - Life
Aaron's,Consulting & Outsourcing
Applied Optoelectronics,Semiconductors
AAON,Building Materials
Advance Auto Parts,Retail - Apparel & Specialty
Apple,Computer Hardware
American Assets Trust,REITs
Almaden Minerals,Metals & Mining
Atlas Air Worldwide,Transportation & Logistics
iShares MSCI All Country Asia ex Japan Index Fund,
Axon Enterprise,Aerospace & Defense
AllianceBernstein Holding Units,Asset Management
ABB,Industrial Products
AbbVie,Drug Manufacturers
AmerisourceBergen,Medical Distribution
Ameris Bancorp,Banks
Alcentra Capital,Asset Management
Abeona Therapeutics,Biotechnology
Ambev S.A. American Depositary Shares (Each representing 1),Beverages - Alcoholic
Asbury Automotive,Autos
Ability,Communication Equipment
ARCA biopharma,Biotechnology
ABM Industries Incorporated,Business Services
ABIOMED,Medical Devices
Arbor Realty Trust,REITs
Abbott Laboratories,Medical Devices
Allegiance Bancshares,Banks
Arbutus Biopharma,Biotechnology
Associated Capital,Brokers & Exchanges
Arcosa,Engineering & Construction
ACADIA Pharmaceuticals,Biotechnology
Aurora Cannabis,Drug Manufacturers
Atlantic Capital Bancshares,Banks
American Campus Communities,REITs
Acco Brands,Industrial Products
Acer Therapeutics,Biotechnology
Aceto,Drug Manufacturers
Arch Capital,Insurance
Aluminum of China Limited American Depositary Shares,Metals & Mining
Acadia Healthcare Company,Health Care Providers
Achillion Pharmaceuticals,Biotechnology
Achieve Life Sciences,Biotechnology
Acacia Communications,Communication Equipment
SPDR MSCI ACWI IMI,
AC Immune SA,Biotechnology
ACI Worldwide,Application Software
Axcelis,Semiconductors
AECOM,Engineering & Construction
ACM Research,Semiconductors
Accenture plc (Ireland),Application Software
ACNB,Banks
Acorda Therapeutics,Biotechnology
Aberdeen Income Credit Strategies Fund,Asset Management
Ares Commercial Real Estate,REITs
Aclaris Therapeutics,Biotechnology
AcelRx Pharmaceuticals,Medical Devices
Acasti Pharma,Biotechnology
Acacia Research,Business Services
Acme United Corporation.,Consumer Packaged Goods
AllianzGI Diversified Income & Convertible Fund of Beneficial Interest,Asset Management
iShares MSCI ACWI Index Fund,
iShares Edge MSCI Min Vol Global,
iShares MSCI ACWI ex US Index Fund,
AeroCentury,Consulting & Outsourcing
Adaptimmune Therapeutics plc,Biotechnology
Adobe,Application Software
Agree Realty,REITs
Advanced Emissions Solutions,Industrial Products
Analog Devices,Semiconductors
