Company Short Name,Sector
Agilent,Healthcare
Alcoa,Basic Materials
Altaba,Financial Services
AAC,Healthcare
AdvisorShares Dorsey Wright,
American Airlines,Industrials
Altisource Asset Management,Financial Services
Atlantic American,Financial Services
Aaron's,Industrials
Applied Optoelectronics,Technology
AAON,Basic Materials
Advance Auto Parts,Consumer Cyclical
Apple,Technology
American Assets Trust,Real Estate
Almaden Minerals,Basic Materials
Atlas Air Worldwide,Industrials
iShares MSCI All Country Asia ex Japan Index Fund,
Axon Enterprise,Industrials
AllianceBernstein Holding Units,Financial Services
ABB,Industrials
AbbVie,Healthcare
AmerisourceBergen,Healthcare
Ameris Bancorp,Financial Services
Alcentra Capital,Financial Services
Abeona Therapeutics,Healthcare
Ambev S.A. American Depositary Shares (Each representing 1),Consumer Defensive
Asbury Automotive,Consumer Cyclical
Ability,Technology
ARCA biopharma,Healthcare
ABM Industries Incorporated,Industrials
ABIOMED,Healthcare
Arbor Realty Trust,Real Estate
Abbott Laboratories,Healthcare
Allegiance Bancshares,Financial Services
Arbutus Biopharma,Healthcare
Associated Capital,Financial Services
Arcosa,Industrials
ACADIA Pharmaceuticals,Healthcare
Aurora Cannabis,Healthcare
Atlantic Capital Bancshares,Financial Services
American Campus Communities,Real Estate
Acco Brands,Industrials
Acer Therapeutics,Healthcare
Aceto,Healthcare
Arch Capital,Financial Services
Aluminum of China Limited American Depositary Shares,Basic Materials
Acadia Healthcare Company,Healthcare
Achillion Pharmaceuticals,Healthcare
Achieve Life Sciences,Healthcare
Acacia Communications,Technology
SPDR MSCI ACWI IMI,
AC Immune SA,Healthcare
ACI Worldwide,Technology
Axcelis,Technology
AECOM,Industrials
ACM Research,Technology
Accenture plc (Ireland),Technology
ACNB,Financial Services
Acorda Therapeutics,Healthcare
Aberdeen Income Credit Strategies Fund,Financial Services
Ares Commercial Real Estate,Real Estate
Aclaris Therapeutics,Healthcare
AcelRx Pharmaceuticals,Healthcare
Acasti Pharma,Healthcare
Acacia Research,Industrials
Acme United Corporation.,Consumer Defensive
AllianzGI Diversified Income & Convertible Fund of Beneficial Interest,Financial Services
iShares MSCI ACWI Index Fund,
iShares Edge MSCI Min Vol Global,
iShares MSCI ACWI ex US Index Fund,
AeroCentury,Industrials
Adaptimmune Therapeutics plc,Healthcare
Adobe,Technology
Agree Realty,Real Estate
Advanced Emissions Solutions,Industrials
Analog Devices,Technology
Adial Pharmaceuticals,Healthcare
Archer-Daniels-Midland Company,Consumer Defensive
ADMA Biologics,Healthcare
Adamis Pharmaceuticals,Healthcare
Adamas Pharmaceuticals,Healthcare
Adient plc,Consumer Cyclical
ADOMANI,Consumer Cyclical
Automatic Data Processing,Industrials
Invesco BLDRS Asia 50 Index Fund,
Invesco BLDRS Developed Markets 100 Index Fund,
Invesco BLDRS Emerging Markets 50 Index Fund,
Aduro Biotech,Healthcare
Invesco BLDRS Europe Select Index Fund,
Alliance Data Systems,Financial Services
Autodesk,Technology
Advanced Disposal Services,Industrials
ADT,Industrials
ADTRAN,Technology
Addus HomeCare,Healthcare
Adverum Biotechnologies,Healthcare
Adams Diversified Equity Fund,Financial Services
Advaxis,Healthcare
Adams Resources & Energy,Energy
Ameren,Utilities
Aberdeen Emerging Markets Equity Income Fund,Financial Services
AEGON N.V.,Financial Services
Aegion,Industrials
Aehr Test Systems,Technology
Advanced Energy Industries,Technology
American Equity Investment Life Holding Company,Financial Services
Agnico Eagle Mines Limited,Basic Materials
Aethlon Medical,Technology
American Eagle Outfitters,Consumer Cyclical
American Electric Power Company,Utilities
AerCap N.V.,Industrials
Aerie Pharmaceuticals,Healthcare
The AES,Utilities
American Electric,Industrials
ADDvantage,Technology
AudioEye,Technology
Aeterna Zentaris,Healthcare
AllianceBernstein National Municipal Income Fund,Financial Services
American Financial,Financial Services
Atlas Financial,Financial Services
Armstrong Flooring,Basic Materials
American Finance Trust,Real Estate
VanEck Vectors-Africa Index,
AFLAC Incorporated,Financial Services
Affimed N.V.,Healthcare
Apollo Senior Floating Rate Fund,Financial Services
