1,ROSÉ & Bruno Mars,APT.
2,Lady Gaga & Bruno Mars,Die With A Smile
3,Lola Young,Messy
4,Gracie Abrams,That’s So True
5,Fido,Joy Is Coming
6,The Weeknd & Playboi Carti,Timeless
7,Naughty Boy,La La La (feat. Sam Smith)
8,Billie Eilish,BIRDS OF A FEATHER
9,Chub1na.Ge,ჩუბინა
10,"Mr Pilato, Ego Slimflow & Tebogo G Mashego","Biri Marung (Edit) [feat. Sje Konka, Focalistic, DJ Maphorisa, Scotts Maphuma & CowBoii]"
11,Teddy Swims,Bad Dreams
12,Chappell Roan,"Good Luck, Babe!"
13,Benson Boone,Beautiful Things
14,Teddy Swims,Lose Control
15,FloyyMenor & Cris MJ,Gata Only
16,PENOMECO,BOLO (feat. YDG)
17,Bryan merat,"Squid game, carrousel"
18,Chezile,Beanie
19,"Coldplay, Little Simz, Burna Boy, Elyanna & TINI",WE PRAY
20,EMIN & JONY,Камин
21,Kendrick Lamar & SZA,luther
22,Ball Brothers,Tweaker
23,KAROL G,Si Antes Te Hubiera Conocido
24,Neton Vega,Loco
25,Gigi Perez,Sailor Song
26,Alleh & Yorghaki,capaz (merengueton)
27,Stromae & Pomme,Ma Meilleure Ennemie (from the series Arcane League of Legends)
28,Joé Dwèt Filé,4 Kampé
29,"HUGEL, Topic & Arash",I Adore You (feat. Daecolm)
30,The Weeknd & Anitta,São Paulo
31,Shaboozey,A Bar Song (Tipsy)
32,Sabrina Carpenter,Espresso
33,"Adam Port, Stryv & Malachiii",Move
34,"Jombriel, Alex Krack & Jøtta",Parte & Choke
35,Misha Miller & Alex Velea,Bam Bam
36,Sevdaliza,"Ride Or Die, Pt. 2 (feat. Villano Antillano & Tokischa)"
37,Disturbed,The Sound of Silence (CYRIL Remix)
38,TIGO & Migrant,Планы на завтра
39,Damiano David,Born With a Broken Heart
40,Alonzo,Elle t’a tué
41,Hozier,Too Sweet
42,Tyla,PUSH 2 START
43,"David Guetta, Alphaville & Ava Max",Forever Young (Extended)
44,Soap&Skin,Me and the Devil
45,Loreen,Tattoo
46,CHRYSTAL & NOTION,The Days (NOTION Remix)
47,Teddy Swims,The Door
48,PAWSA & The Adventures of Stevie V,Dirty Cash (Money Talks)
49,Kendrick Lamar,tv off (feat. Lefty Gunplay)
50,Djo,End of Beginning
51,The Weeknd,Dancing In The Flames
52,Radiohead,Exit Music (For a Film)
53,Gotye,Somebody That I Used to Know (feat. Kimbra)
54,"Tyler, The Creator",Like Him (feat. Lola Young)
55,Edward Maya & Vika Jigulina,Stereo Love
56,Billie Eilish,WILDFLOWER
57,Myles Smith,Stargazing
58,Jog,Future Remix 98
59,Salif Keïta & MoBlack,"Yamore (feat. Cesária Evora, Benja (NL) & Franc Fala)"
60,George Michael,Careless Whisper
61,LeoKarlo,Darling - Instrumental
62,Drayton Farley,Blue Collar
63,Jaden Bojsen & Sami Brielle,LET'S GO
64,Celeste,This Is Who I Am (From “The Day of the Jackal”)
65,Kendrick Lamar,peekaboo (feat. AzChike)
66,"Sevdaliza, Pabllo Vittar & Yseult",Alibi
67,yung kai,blue
68,Avicii,Without You (feat. Sandro Cavazza)
69,The Police,Every Breath You Take
70,ERAC,Round and Round Mingle Game
71,Future,Low Life (feat. The Weeknd)
72,Lady Gaga,Disease
73,Rich Gang,"Tapout (feat. Lil Wayne, Birdman, Mack Maine, Nicki Minaj & Future)"
74,Snow Strippers,Under Your Spell
75,Rema,Calm Down
76,TxC & Davido,"Yebo (feat. Tony Duardo, Leemckrazy & Djy Biza)"
77,LINKIN PARK,The Emptiness Machine
78,Years & Years,Breathe
79,DJ DAVY FELIPE & DJ TAK VADIÃO,Hoje em Dia É Difícil Encontrar (Versão Bh)
80,"The Weeknd, JENNIE & Lily Rose Depp",One Of The Girls
81,Navai & MONA,Есенин
82,Malcolm Todd,Chest Pain (I Love)
83,Myles Smith,Nice To Meet You
84,Keane,Somewhere Only We Know
85,Lady Gaga,Bloody Mary
86,Noizy,Follow You
87,"Tyler, The Creator","Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)"
88,DJ DYLANFK & WXCHSXN,Montagem Lunar Diamante (Slowed)
89,Rauw Alejandro & Bad Bunny,Qué Pasaría...
90,M.I.A.,Paper Planes
91,Coldplay,A Sky Full of Stars
92,Everything But the Girl & Todd Terry,Missing (Todd Terry Club Mix)
93,Empire Of The Sun,We Are The People
94,Nicky Jam & J Balvin,X
95,Tom Odell,Another Love
96,Rihanna,Breakin' Dishes
97,Ed Sheeran,Perfect
98,CYRIL,Stumblin' In
99,Kendrick Lamar,squabble up
100,FloyyMenor,PELIGROSA
101,LE SSERAFIM,CRAZY
102,Gorillaz,Feel Good Inc
103,Trekkrrholymountain & Weeping Wi11ow,Scissorhands
104,ZAYN,Dusk Till Dawn (feat. Sia)
105,Heredero,Coqueta
106,Sabrina Carpenter,Taste
107,Linh,Je pense à vous
108,"Kendrick Lamar, SZA",All The Stars
109,SahBabii,Viking
110,Bad Bunny,DtMF
111,Don Toliver,No Pole
112,Kiss,I Was Made For Lovin' You
113,Pitbull,Greenlight (feat. Flo Rida & LunchMoney Lewis)
114,"Rampa, Adam Port & &ME",Say What (feat. chuala)
115,"MC Menor JP, RAMONMIX & The Ironix",Menina de Vermelho
116,Doechii,DENIAL IS A RIVER
117,Tiken Jah Fakoly,Plus rien ne m'étonne
118,Artemas,i like the way you kiss me
119,Nessa Barrett,PORNSTAR
120,ния & bir kyz,хороша
121,Morgan Wallen,Love Somebody
122,Avicii,Wake Me Up
123,Crowded House,Don't Dream It's Over
124,Misha Xramovi,В экстазе
125,Kenny Die & Sebas,Ultra Complicado
126,Andrea Bocelli & Sarah Brightman,Time To Say Goodbye (Con Te Partirò)
127,Avicii,Levels
128,GloRilla & Sexyy Red,WHATCHU KNO ABOUT ME
129,Lykke Li,I Follow Rivers (The Magician Remix)
130,Dasha,Austin (Boots Stop Workin')
131,Dj Junior Sales,Menina do Job X Viciada em Sentar (feat. MC TH & MC Xangai)
132,Imogen Heap,Headlock
133,Mary J. Blige,Family Affair
134,Travis Scott,FE!N (feat. Playboi Carti)
